Region,pes21_rural_urban,cps21_household,mean_engagement,mean_institutional_faith,mean_social_friction,N
Atlantic,5.0,6.0,0.19265873015873017,0.38954510703363926,0.26891534391534394,3
Atlantic,6.0,-99.0,0.3937500000000001,0.6125,0.22857142857142862,1
Atlantic,6.0,2.0,0.4485119047619048,0.5375000000000001,0.9285714285714286,2
Atlantic,6.0,3.0,0.6785714285714286,0.7994393476044853,0.95,1
Ontario,1.0,1.0,0.263122042295179,0.5559465243350367,0.39092477570738454,23
Ontario,1.0,2.0,0.25728159684926605,0.5497769573653809,0.3689605959342802,114
Ontario,1.0,3.0,0.30150209885541523,0.5414634106700785,0.3859977324263039,28
Ontario,1.0,4.0,0.2593047825190683,0.5724942329586826,0.25793650793650796,22
Ontario,1.0,5.0,0.2697574168556312,0.5799462101354305,0.3069444444444445,6
Ontario,1.0,6.0,0.2104662698412699,0.5436608053007136,0.3250000000000001,3
Ontario,1.0,9.0,0.48231292517006813,0.49885321100917446,0.4222222222222223,1
Ontario,2.0,1.0,0.2676272360796171,0.5794116397833345,0.3446389666977903,51
Ontario,2.0,2.0,0.24339792364448332,0.5599090868707274,0.38077399155380814,109
Ontario,2.0,3.0,0.26508193709582606,0.5472047877934729,0.33581128747795425,45
Ontario,2.0,4.0,0.302374491463252,0.601188174046377,0.32392623716153135,34
Ontario,2.0,5.0,0.2647755456349207,0.5772219036697248,0.26845238095238105,8
Ontario,2.0,6.0,0.23911328420256997,0.5637306528115834,0.30912698412698425,7
Ontario,3.0,1.0,0.2618929516250945,0.5692546675878233,0.3790420819490588,43
Ontario,3.0,2.0,0.2447384329246102,0.557142663314618,0.3625257201646091,108
Ontario,3.0,3.0,0.29513554744390985,0.5920834931645517,0.36915408439798697,41
Ontario,3.0,4.0,0.3194998138144147,0.5540961032731136,0.40543884220354814,34
Ontario,3.0,5.0,0.275082671957672,0.5825401072763459,0.3179365079365081,15
Ontario,3.0,6.0,0.2562253296380281,0.6028380499328513,0.3118165784832452,9
Ontario,3.0,8.0,0.37440476190476196,0.5648754914809961,0.20000000000000007,1
Ontario,4.0,1.0,0.256922272877405,0.5595601849302414,0.3651827397625718,119
Ontario,4.0,2.0,0.23789514453305255,0.5611668586503656,0.3824713156173831,267
Ontario,4.0,3.0,0.27695902119265214,0.5684240008207899,0.36032347282347293,132
Ontario,4.0,4.0,0.25758014488139247,0.5726453422263716,0.34415362035225056,146
Ontario,4.0,5.0,0.24007520040179822,0.5561371893035342,0.32829991645781126,38
Ontario,4.0,6.0,0.2688456632653062,0.5115606114387652,0.3812500000000001,8
Ontario,4.0,7.0,0.33333333333333337,0.6415465268676279,0.3428571428571429,2
Ontario,4.0,8.0,0.23035714285714293,0.6789564220183487,0.25000000000000006,1
Ontario,4.0,10.0,0.5646825396825398,0.8033256880733948,0.65,1
Ontario,4.0,63.0,0.2854166666666667,0.593119266055046,0.37142857142857144,1
Ontario,5.0,1.0,0.2605068086262283,0.5644193214604268,0.3276463293650794,320
Ontario,5.0,2.0,0.23393577238787525,0.557395145617194,0.3323268061118529,535
Ontario,5.0,3.0,0.25914306597509207,0.5681950764457947,0.3348427533006973,214
Ontario,5.0,4.0,0.2595336300280982,0.5524153550613837,0.3256469979296067,184
Ontario,5.0,5.0,0.2843489786625033,0.5348126851633019,0.32235232890970605,61
Ontario,5.0,6.0,0.30285796336078297,0.5398127869367609,0.3653299916457812,19
Ontario,5.0,7.0,0.23120866402116408,0.5719132262996943,0.3714285714285715,4
Ontario,5.0,8.0,0.3016935941043084,0.7064177709819912,0.3000000000000001,3
Ontario,5.0,10.0,0.1991071428571429,0.49841997961264034,0.4,1
Ontario,5.0,11.0,0.1604166666666667,0.4110091743119267,0.3777777777777779,1
Ontario,6.0,1.0,0.5249395313681029,0.6021006261831952,0.6492857142857144,5
Ontario,6.0,2.0,0.3164902998236332,0.5620296041454299,0.43750000000000006,6
Ontario,6.0,3.0,0.401347552910053,0.7596839959225282,0.625,2
Ontario,6.0,4.0,0.6309268707482993,0.5823050458715597,0.6710317460317461,5
Ontario,6.0,6.0,0.3092592592592593,0.5191513761467892,0.17500000000000004,1
Quebec,1.0,1.0,0.26247155263071414,0.557561486567769,0.30533126293995866,23
Quebec,1.0,2.0,0.253212750377929,0.5334391231008204,0.2853968253968254,60
Quebec,1.0,3.0,0.25623441043083905,0.5832273918741809,0.2668253968253969,10
Quebec,1.0,4.0,0.3298338401016973,0.536863308709639,0.32218614718614724,11
Quebec,1.0,5.0,0.3245771919879063,0.5701434396388526,0.3625000000000001,6
Quebec,1.0,6.0,0.26541612676816767,0.42499115854292796,0.20663265306122455,7
Quebec,2.0,1.0,0.283371913580247,0.5695093874387167,0.2889963624338625,48
Quebec,2.0,2.0,0.25815870522591755,0.5495430162168504,0.2817846119929454,144
Quebec,2.0,3.0,0.2791743229858994,0.5614109270725058,0.30762178434592236,29
Quebec,2.0,4.0,0.2781651549508693,0.5500926698174405,0.3306277056277057,33
Quebec,2.0,5.0,0.2947521865889214,0.5748669880796357,0.359013605442177,7
Quebec,2.0,6.0,0.3485792233560091,0.7288098878695211,0.4321428571428573,4
Quebec,3.0,1.0,0.28874175477684616,0.5526077278930918,0.2983988556662976,86
Quebec,3.0,2.0,0.24945035507743155,0.5424945151115943,0.2832902670111973,129
Quebec,3.0,3.0,0.2831854562000239,0.5606088759743396,0.3387426900584796,38
Quebec,3.0,4.0,0.29524664363099745,0.5533953362180755,0.2764172335600908,21
Quebec,3.0,5.0,0.29144871332371336,0.5610694924341715,0.34527417027417034,11
Quebec,3.0,6.0,0.2936218584656085,0.5814292995485657,0.21071428571428577,4
Quebec,4.0,1.0,0.26620255348516225,0.5489936431958771,0.31343685300207047,115
Quebec,4.0,2.0,0.24205111559813275,0.5382870070395842,0.29826407466856913,267
Quebec,4.0,3.0,0.25945986222771944,0.5626708186054518,0.29726911976911985,110
Quebec,4.0,4.0,0.26945777762859535,0.5557538005947592,0.3066311612364245,76
Quebec,4.0,5.0,0.21732070308282045,0.5325327588986666,0.31359126984126995,28
Quebec,4.0,6.0,0.2956294091710759,0.4893891680015534,0.38333333333333336,3
Quebec,4.0,7.0,0.4001488095238096,0.6536697247706422,0.15,1
Quebec,4.0,8.0,0.4685185185185186,0.5670234454638126,0.15000000000000005,1
Quebec,5.0,-99.0,0.38035714285714295,0.7044342507645259,1.0,1
Quebec,5.0,1.0,0.25939635267174427,0.5349897821300486,0.2716882877181881,301
Quebec,5.0,2.0,0.24203637033565462,0.5286627285863559,0.26443731981310276,479
Quebec,5.0,3.0,0.2552333900226758,0.531184396388525,0.24772063492063498,125
Quebec,5.0,4.0,0.23778421020484516,0.5381940307399025,0.28482443482443487,99
Quebec,5.0,5.0,0.22007275132275136,0.4812346141310756,0.3087112622826909,21
Quebec,5.0,6.0,0.24530777588813305,0.5835065652152809,0.2930555555555556,6
Quebec,5.0,7.0,0.40952380952380957,0.6812500000000002,0.5500000000000002,1
Quebec,5.0,8.0,0.286904761904762,0.13888888888888892,0.07500000000000002,1
Quebec,6.0,-99.0,0.26210317460317467,0.43125,0.06666666666666668,1
Quebec,6.0,2.0,0.40611016628873775,0.7147196738022428,0.5461111111111112,5
Quebec,6.0,3.0,0.42248204837490555,0.7258949049803409,0.5520833333333334,4
Quebec,6.0,4.0,0.4872260015117158,0.6940621814475026,0.5416666666666667,3
Territories,1.0,1.0,0.3628188775510205,0.5341497378768022,0.29841269841269846,2
Territories,1.0,2.0,0.34397321428571437,0.7221330275229358,0.5410714285714286,2
Territories,1.0,4.0,0.2757369614512472,0.5215596330275232,0.288888888888889,1
Territories,1.0,5.0,0.4324404761904762,0.7561353211009176,0.10000000000000003,1
Territories,2.0,1.0,0.31564625850340144,0.6293577981651377,0.45,1
Territories,2.0,2.0,0.22281746031746033,0.4018730886850153,0.09391534391534395,3
Territories,2.0,4.0,0.38310657596371883,0.4649847094801225,0.3000000000000001,1
Territories,2.0,5.0,0.3875,0.6238532110091745,0.6000000000000001,1
Territories,3.0,1.0,0.23905836640211642,0.5216249362895006,0.3838293650793652,4
Territories,3.0,2.0,0.2715573034769464,0.5516564729867484,0.3721825396825398,10
Territories,3.0,5.0,0.40416666666666673,0.7292558613659532,0.44444444444444453,1
Territories,3.0,6.0,0.19062500000000004,0.6676032110091744,0.5555555555555556,1
Territories,4.0,2.0,0.566468253968254,0.6750000000000002,0.8857142857142858,1
